"author","comment","type","voteCount","replyCount","publishedTimeText","hasCreatorHeart","authorIsChannelOwner","title","pageUrl"
"@NanikKartini-bp9dc","Aamiiin","reply","1","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@Furkhan-h2i","Bukan umur yang panjang ,tapi umur yang barokah","reply","0","0","10 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@KHOIRUL60","Khusnul khatimah akhir yang buruk/hina.","reply","0","0","3 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@ademukhtar2774","Mntappp","comment","3","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@MenolakTrinitas","Selain golongan nya mereka anggap haram 😂","comment","0","0","4 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@muhamatyani6318","Subhanalloh","comment","2","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@IrvianIrvi","Yg bangga LDII blm faham lu brayyy","comment","0","0","2 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@csca1636","Semoga sehat selalu njeh semuanya","comment","2","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@alfatihkurniawan929","LDII 😂😂😂😂😂","comment","1","0","5 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@sahabatcakrul2439","Alkhamdulilaah mantap ibu Ida🤲🤲👍","comment","1","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@abdusomad6305","Lancar barokah ❤","comment","1","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@delystaputrivassya","Maju trs mba ida","comment","0","0","4 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@rozakcool1662","Lancar barokah buat bu ida royani dan om ben sy bangga jadi jamaah LDII sampai mati pun kita harus tetap dalam jamaah.salam dari rozak jamaah desa kartika wanasari cibitung bekasi","comment","5","4","8 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@AhmadMuklis-q6u","Aku ikut senang lho😊😊😊","comment","1","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@sastrogandhul3847","Mau itu komentar takut dihapus..😊😊😊","comment","2","0","11 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@jaryantiantik5023","Mantap lancar barokah....","comment","1","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@odiarifianto6028","Awet muda ya bu sehat selalu","comment","1","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@PonijoYulianto","Sehat selalu mba ida.","comment","1","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@hasannuddinhasti9008","Aku juga LDII bu ida❤","comment","0","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@evilistiani2682","Mantap bunda lancar barokah","comment","1","1","9 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@KHOIRUL60","Haram berpecahbelah dengan bergolong golongan dan bangga dengan apa yang ada pada golongannya.  Baca surat Ar Rum ayat 31-32.","comment","1","0","4 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@iranperthu3995","Luar biasa LDI","comment","1","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@faqihsyahidsanjaya7300","Semoga lancar sehat tetap dalam hidayah Alloh","comment","1","1","8 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@ldiitvgambir","Aamiin","reply","1","0","8 months ago","false","true","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@rohmahsunset7535","Aamiin","reply","1","0","7 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@KHOIRUL60","""Dengan kembali bertobat kepada-Nya dan bertakwalah kepada-Nya serta dirikanlah salat dan janganlah kamu termasuk orang-orang yang mempersekutukan Allah(31), ""Yaitu orang-orang yang memecah belah agama mereka dan mereka menjadi beberapa golongan. Tiap-tiap golongan merasa bangga dengan apa yang ada pada golongan mereka""(QS Ar Rum : 31-32)","reply","1","0","4 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@rizalbleuc","Ldii extreme","reply","0","0","5 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@ahmadsanusi5679","Ajaran yg bikin ribet sendiri n menyusahkan orang lain,","comment","1600","209","9 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@m_z_s_d_s","Jgn order ojol kalau kaya gitu.... beli motor sendiri... jgn merusak islam... islam itu mudah islam itu indah.","comment","1200","96","9 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@tetisatibi7467","Astagfirullah semoga ank keturunan  kami di jauhkan dri ajaran sesat dan di jauhkan dri fitnah dajjal","comment","1400","43","9 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@Mirzaalzaf","Astaghfirullah., otak dan hati sudah konslet","comment","4","0","7 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@IyukRukyah-eh9fh","SEMOGA MAS OJOL INI MENDAPATKAN REJEKI YANG MELIMPAH DAN BERKAH 
AAMIIN YRA 🤲🏻 🤲🏻 🤲🏻 
TETAP SEMANGAT MAS OJOL💪💪💪

KALAU AJARANNYA SEPERTI IBU ITU, HARUSNYA DARI YANG MENGAJARKANNYA IBU INI DAPAT PASILITAS KENDARAAN AGAR TIDAK MENYUSAHKAN ORANG LAIN","comment","200","3","9 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@ilhamwiraputra","pernah solat di masjid LDII, 
selesai solat saya keliling muter2 di masjid itu. biar mereka capek ngepel 😂","comment","1200","217","9 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@alitamam1221","Ternyata mereka belum tobat juga.....!!!!!
Sejak dulu katanya di bina MUI... !!!!","comment","673","53","9 months ago (edited)","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@AlleXiz12","Pernah gua shalat di mesjid Ldii sengaja gua sambil mondar mandir sampe semua karpet² nya di cuci semua😂","comment","2","1","8 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@siloeka","Ingat, Islam itu mempermudah BUKAN mempersulit. Barakallah, sodara sodari Muslimku 🤲🙏","comment","483","39","9 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@mazzparto9469","saya mantan sekretaris LDII Kota Semarang,  dan mantan Wakil Ketua LDII Prov Bali. Alhamdulillah sejak 2020 sdh menyatakan keluar, krn sadar byk hal yg hrs sy tinggalkan.","comment","748","109","9 months ago (edited)","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@AriSoekri","Aliran penuh SU'UDHON","comment","631","27","9 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@wiwinpujimulyani3024","Saudara saya mantan LDII  , sekarang sakit ga ada yg nolongin krn smua saudara...tetangga berprinsip takut di salah2an..lbh baik ga usah di tolong .,","comment","64","4","8 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@adesunarya474","Kasihan si abang gara2 faham org gila dianut😂","comment","118","2","9 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@ngetemsantai8484","Padahal jelas di Quran di jelaskan bahwa Allah tidak menyukai orang yang berlebih lebihan","comment","82","3","9 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@masbasalmasekaniy7051","Smga LDII lihat ini dn mau pake otak dn hatinya, bukn soal ojol tp pemahaman yg ngawor","comment","30","0","9 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
"@MohammadAsyari","yg paling bikin geleng2 kepala tuh mereka mengatakan ibadah kita tidak akan diterima Allah kalo tidak disahkan oleh guru yg mereka pilih,,,","comment","1","0","8 months ago","false","false","Ngeri.. Ajaran LDII Seperti ini ?","https://www.youtube.com/watch?v=_b0zHWh7-cE"
